url,title,published,author,categories,audio_links
https://pola-retradio.org/2025/10/e_elsendo-el-la-05-10-2025/,E_elsendo el la 05.10.2025,2025-10-05T21:46:02+02:00,,Elsendoj,https://pola-retradio.org/wp-content/uploads/2025/10/RetRadio_05.10.2025_ndz_V_1429.mp3
https://pola-retradio.org/2025/10/eduk-kultura-komplekso-de-la-muzika-akademio-en-bydgoszcz/,Eduk-kultura komplekso de la Muzika Akademio en Bydgoszcz,2025-10-05T22:13:40+02:00,,Kulturkroniko,"https://pola-retradio.org/wp-content/uploads/2025/10/kk_bppk_Granda-edukkultura-centro-n-Bydgoszcz_0155.mp3,https://pola-retradio.org/wp-content/uploads/2025/10/kk_bppk_Granda-edukkultura-centro-n-Bydgoszcz_0155.mp3?_=25"
https://pola-retradio.org/2025/10/muzeo-de-la-stratarto-en-lodzo/,Muzeo de la Stratarto en Lodzo,2025-10-05T22:17:46+02:00,,Kulturkroniko,"https://pola-retradio.org/wp-content/uploads/2025/10/kk_mj_Muzeo-de-la-stratarto-en-Lodzo_051.mp3,https://pola-retradio.org/wp-content/uploads/2025/10/kk_mj_Muzeo-de-la-stratarto-en-Lodzo_051.mp3?_=26"
https://pola-retradio.org/2025/10/la-19-a-internacia-chopin-konkurso-komencigis/,La 19-a Internacia Chopin-konkurso komenciĝis,2025-10-05T22:21:37+02:00,,Kulturkroniko,"https://pola-retradio.org/wp-content/uploads/2025/10/kk_mj_Chopin-konkurso-2025_0226.mp3,https://pola-retradio.org/wp-content/uploads/2025/10/kk_mj_Chopin-konkurso-2025_0226.mp3?_=27"
https://pola-retradio.org/2025/10/pastro-roman-gmyrek-invitas-por-pregotagoj-en-czestochowa/,Pastro Roman Gmyrek invitas por  Preĝotagoj en Częstochowa,2025-10-05T23:41:54+02:00,,Antaŭ la mikrofono,"https://pola-retradio.org/wp-content/uploads/2025/10/mj-kun-pastro-Roman-Gmyrek_Pregotagoj-en-Czestochowa_0229.mp3,https://pola-retradio.org/wp-content/uploads/2025/10/mj-kun-pastro-Roman-Gmyrek_Pregotagoj-en-Czestochowa_0229.mp3?_=28"
https://pola-retradio.org/2025/10/ognian-kabranow-auskultanto-el-usono/,"Ognian Kabranow, aŭskultanto el Usono",2025-10-05T23:49:58+02:00,,Antaŭ la mikrofono,"https://pola-retradio.org/wp-content/uploads/2025/10/bp_kun-Ognian-Kabranov_auskultanto-el-Usono_0838.mp3,https://pola-retradio.org/wp-content/uploads/2025/10/bp_kun-Ognian-Kabranov_auskultanto-el-Usono_0838.mp3?_=29"
https://pola-retradio.org/2025/10/e_elsendo-el-la-10-10-2025/,E_elsendo el la 10.10.2025,2025-10-10T19:36:58+02:00,,Elsendoj,https://pola-retradio.org/wp-content/uploads/2025/10/RetRadio_10.10.2025_pt_M_1430.mp3
https://pola-retradio.org/2025/10/la-unua-en-pollando-observejo-de-maraj-birdoj/,La unua en Pollando Observejo de Maraj Birdoj,2025-10-10T22:35:00+02:00,,Novaĵoj,"https://pola-retradio.org/wp-content/uploads/2025/10/w_pk_La-unua-observa-turo-de-la-maraj-birdoj_0154.mp3,https://pola-retradio.org/wp-content/uploads/2025/10/w_pk_La-unua-observa-turo-de-la-maraj-birdoj_0154.mp3?_=30"
https://pola-retradio.org/2025/10/eurostat-pri-nesta-familimodelo-kun-plenkreskaj-infanoj/,Eurostat pri nesta familimodelo kun plenkreskaj infanoj,2025-10-10T22:38:22+02:00,,Novaĵoj,"https://pola-retradio.org/wp-content/uploads/2025/10/w_msz_Plenkreskaj-uniaj-junuloj-kun-la-gepatroj_0254.mp3,https://pola-retradio.org/wp-content/uploads/2025/10/w_msz_Plenkreskaj-uniaj-junuloj-kun-la-gepatroj_0254.mp3?_=31"
https://pola-retradio.org/2025/10/la-usonaj-esploroj-pri-la-efiko-de-rozariprego/,La usonaj esploroj pri la efiko de rozaripreĝo,2025-10-10T22:47:08+02:00,,Sciencaj informoj,"https://pola-retradio.org/wp-content/uploads/2025/10/sc_mj_Efikado-de-rosariprego-esploroj-usonaj_0218.mp3,https://pola-retradio.org/wp-content/uploads/2025/10/sc_mj_Efikado-de-rosariprego-esploroj-usonaj_0218.mp3?_=32"
