url,title,published,author,categories,audio_links
http://esperanto.china.org.cn/2026-09/01/content_118674695.htm,Ĉina prezidanto Xi Jinping intervidiĝis kun uzbeka prezidento Shavkat Mirziyoyev,2026-09-01T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/01/content_118674706.htm,Ĉinio volas antaŭeniri man-en-mane laŭ moderniga vojo kun Mongolio,2026-09-01T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/01/content_118674733.htm,"Xi Jinping renkontiĝis kun Vladimir Putin en Biŝkeko, Kirgizio",2026-09-01T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/01/content_118674740.htm,Ĉinio pretas labori kun Kirgizio por fortigi laŭliniigon de disvolvaj strategioj,2026-09-01T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/01/content_118675016.htm,Nepala ministro dankas Ĉinion pro helpo kaj sav-subteno kontraŭ katastrofo,2026-09-01T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/01/content_118675026.htm,Instalita ŝnurŝtupara evakua koridoro por savistoj sur la ŝtata ŝoseo 216 de Ĉinio,2026-09-01T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/02/content_118676352.htm,Xi Jinping atingis Kairon por ŝtata vizito al Egiptio,2026-09-02T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/02/content_118676383.htm,Xi Jinping ĉeestis pintkunvenon de ŜKO,2026-09-02T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/02/content_118676390.htm,Egipta aktoro Sherif Sobhy: Kino estas ponto por plifortigi kulturajn interŝanĝojn inter Egiptio kaj Ĉinio,2026-09-02T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/02/content_118677078.htm,Surloka medicina inspektado kaj desinfektado farata en Gyirong,2026-09-02T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/03/content_118678880.htm,Ĉina prezidanto Xi Jinping intervidiĝis kun egipta prezidento Abdel Fattah El-Sisi,2026-09-03T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/03/content_118679250.htm,Alireblas la 3-kilometra sekcio de la ŝtata ŝoseo 216 blokita pro ŝlimfluo,2026-09-03T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/03/content_118679271.htm,"21 homoj perdis vivon, 541 homoj restas en senkontakto pro la ŝlimfluo ĉe Gyirong",2026-09-03T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/03/content_118679455.htm,Ĉinio plifortigas ligojn kun la Tutmonda Sudo,2026-09-03T00:00:00,Rafael Henrique Zerbetto,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/07/content_118683725.htm,"Xi Jinping: Regado de Ĉinio , kvina libro -- Subtenante justan mondon kaj komunan destinon",2026-09-07T00:00:00,,Novaĵoj,
http://esperanto.china.org.cn/2026-09/07/content_118684047.htm,Finala taksado de ĉi-jara Orkide-premio okazis en Pekino,2026-09-07T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/08/content_118685342.htm,Nepala ministro pri eksterlandaj aferoj Shisir Khanal: Ĉinio kunhavigas datumojn helpante la katastrofan respondon de Nepalo,2026-09-08T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/08/content_118685843.htm,Sud-afrika ekonomikisto: Ĉina Internacia Foiro por Komerco de Servoj estas grava platformo por ekonomioj kaj entreprenoj,2026-09-08T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/08/content_118685863.htm,Nacia Akrobata Trupo de KPDR,2026-09-08T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/09/content_118687587.htm,"La domo, kie Mao Zedong loĝis en Xuanwo",2026-09-09T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/09/content_118687620.htm,Inaŭguriĝis Ĉina Internacia Foiro por Komerco de Servoj en 2026,2026-09-09T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/10/content_118689258.htm,Kiam ĉinaj servoj iras al la mondo,2026-09-10T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/10/content_118689311.htm,Shaanxi: Geoparko de Zhongnan-monto brilas sur internacia scenejo,2026-09-10T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/11/content_118691353.htm,Xi Jinping ĉeestos 18an BRICS-pintkunvenon en Barato,2026-09-11T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/11/content_118691504.htm,Brazilo reasertas siajn valorojn en Pekino dum celebrado de sia nacia tago,2026-09-11T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/14/content_118691404.htm,La Triumfa Arko de Pjongjango,2026-09-14T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/14/content_118691413.htm,"Shaanxi: Antaŭplanado estas la ""balast-ŝtono"" de elektroprovizo",2026-09-14T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/14/content_118695045.htm,Ĉinio transprenos la deĵorantan prezidantecon de BRICS en 2027,2026-09-14T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/14/content_118695051.htm,Ĉina prezidanto proponas iniciatojn pri kunlaboro de grandigita BRICS,2026-09-14T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/14/content_118695063.htm,Xi Jinping kaj Modi faris profundan interŝanĝon de opinioj,2026-09-14T00:00:00,,Plej Freŝaj,
http://esperanto.china.org.cn/2026-09/14/content_118695091.htm,Kiu akompanas ĉinajn entreprenojn al la mondo?,2026-09-14T00:00:00,Bui Hai Mung,Plej Freŝaj,
